Section designation,Mass per metre,Depth,Width  ,Web thickness,Flange thickness
356 x 406 x 1299,1299,600,476,100,140
356 x 406 x 1202,1202,580,471,95,130
356 x 406 x 1086,1086,569,454,78,125
356 x 406 x 990,990,550,448,71.9,115
356 x 406 x 900,900,531,442,65.9,106
356 x 406 x 818,818,514,437,60.5,97
356 x 406 x 744,744,498,432,55.6,88.9
356 x 406 x 677,677,483,428,51.2,81.5
356 x 406 x 634,633.9,474.6,424,47.6,77
356 x 406 x 592,592,465,421,45,72.3
356 x 406 x 551,551,455.6,418.5,42.1,67.5
356 x 406 x 509,509,446,416,39.1,62.7
356 x 406 x 467,467,436.6,412.2,35.8,58
356 x 406 x 393,393,419,407,30.6,49.2
356 x 406 x 340,339.9,406.4,403,26.6,42.9
356 x 406 x 287,287.1,393.6,399,22.6,36.5
356 x 406 x 235,235.1,381,394.8,18.4,30.2
356 x 368 x 202,201.9,374.6,374.7,16.5,27
356 x 368 x 177,177,368.2,372.6,14.4,23.8
356 x 368 x 153,152.9,362,370.5,12.3,20.7
356 x 368 x 129,129,355.6,368.6,10.4,17.5
305 x 305 x 283,282.9,365.3,322.2,26.8,44.1
305 x 305 x 240,240,352.5,318.4,23,37.7
305 x 305 x 198,198.1,339.9,314.5,19.1,31.4
305 x 305 x 158,158.1,327.1,311.2,15.8,25
305 x 305 x 137,136.9,320.5,309.2,13.8,21.7
305 x 305 x 118,117.9,314.5,307.4,12,18.7
305 x 305 x 97,96.9,307.9,305.3,9.9,15.4
254 x 254 x 167,167.1,289.1,265.2,19.2,31.7
254 x 254 x 132,132,276.3,261.3,15.3,25.3
254 x 254 x 107,107.1,266.7,258.8,12.8,20.5
254 x 254 x 89,88.9,260.3,256.3,10.3,17.3
254 x 254 x 73,73.1,254.1,254.6,8.6,14.2
203 x 203 x 127,127.5,241.4,213.9,18.1,30.1
203 x 203 x 113,113.5,235,212.1,16.3,26.9
203 x 203 x 100,99.6,228.6,210.3,14.5,23.7
203 x 203 x 86,86.1,222.2,209.1,12.7,20.5
203 x 203 x 71,71,215.8,206.4,10,17.3
203 x 203 x 60,60,209.6,205.8,9.4,14.2
203 x 203 x 52,52,206.2,204.3,7.9,12.5
203 x 203 x 46,46.1,203.2,203.6,7.2,11
152 x 152 x 51,51.2,170.2,157.4,11,15.7
152 x 152 x 44,44,166,155.9,9.5,13.6
152 x 152 x 37,37,161.8,154.4,8,11.5
152 x 152 x 30,30,157.6,152.9,6.5,9.4
152 x 152 x 23,23,152.4,152.2,5.8,6.8
